date,gfs_seamless,ecmwf_ifs025,icon_seamless,ukmo_seamless,gem_seamless,jma_seamless,realized
2026-05-07,27.1,27.7,26.8,28.4,27.8,28.9,29.3
2026-05-08,28.7,29.2,27.7,29.0,28.7,27.7,30.3
2026-05-09,24.6,25.4,24.8,24.7,24.6,24.4,26.1
2026-05-10,24.9,25.8,25.5,26.0,25.6,26.6,26.1
2026-05-11,28.1,27.9,27.8,28.7,27.4,28.0,28.8
2026-05-12,28.7,28.7,28.5,30.9,29.2,28.8,31.6
2026-05-13,28.8,29.4,28.4,30.7,29.1,28.3,31.1
2026-05-14,29.2,28.8,27.5,29.1,28.6,28.8,29.2
2026-05-15,28.1,28.8,26.4,27.9,26.3,27.5,27.4
2026-05-16,24.9,26.9,26.2,25.6,25.4,26.1,25.6
2026-05-17,25.1,25.8,25.2,25.3,25.6,26.1,25.4
2026-05-18,26.9,26.9,26.4,26.4,27.5,27.4,26.3
2026-05-19,27.4,26.2,26.7,27.5,26.4,27.4,26.4
2026-05-20,28.3,29.1,27.6,30.1,27.7,28.4,30.7
2026-05-21,27.1,29.4,27.7,28.8,28.5,29.6,31.5
2026-05-22,29.1,30.0,29.4,31.0,29.2,30.3,31.4
2026-05-23,29.5,29.8,29.4,30.7,30.1,30.0,30.3
2026-05-24,29.6,30.5,29.9,31.3,30.3,30.6,31.5
2026-05-25,29.8,30.7,30.2,31.2,30.6,30.9,32.0
2026-05-26,30.1,30.8,30.3,31.9,30.7,31.2,32.0
2026-05-27,30.7,31.4,30.9,32.7,31.2,31.5,33.7
2026-05-28,31.5,31.7,31.7,34.0,32.1,32.2,33.4
2026-05-29,32.2,32.4,33.1,35.2,33.2,33.4,34.1
2026-05-30,30.1,30.5,31.0,32.3,29.5,31.3,32.6
2026-05-31,28.5,30.2,29.2,30.0,29.5,28.8,30.9
2026-07-06,,,,,,,29.7
2026-07-07,,,,,,,28.0
2026-07-08,,,,,,,27.3
2026-07-09,,,,,,,29.1
2026-07-10,,,,,,,29.1
2026-07-11,,,,,,,29.0
2026-07-12,,,,,,,29.7
2026-07-13,,,,,,,30.2
2026-07-14,,,,,,,28.8
2026-07-15,,,,,,,27.7
